id,updated_at,year,created_at,title,type
350,2025-03-31T10:05:45.296000000Z,N/A,2025-03-31T10:05:45.296000000Z,N/A,N/A
366,2025-03-31T19:30:16.118000000Z,N/A,2025-03-31T10:10:52.524000000Z,Вплив харчування на метаболічне здоров'я та довголіття,Науковий огляд
